bank_txn_id,transaction_date,transaction_type,flow_direction,counterparty,amount,currency
BNK0000001,2025-01-29,Customer Receipt,Inflow,Jade Lopez,614.45,EUR
BNK0000002,2025-02-11,Customer Receipt,Inflow,Optima Conseil Holding,175.79,EUR
BNK0000003,2025-02-13,Customer Receipt,Inflow,Riviera Supply SAS,4030.76,EUR
BNK0000004,2025-02-01,Customer Receipt,Inflow,Yassine Konate,574.44,EUR
BNK0000005,2025-02-24,Customer Receipt,Inflow,Cap Sud Equipement SAS,"285,79",NA
BNK0000006,2025-03-02,Customer Receipt,Inflow,Kevin Traore,21.82,EUR
BNK0000007,2025-02-17,Customer Receipt,Inflow,Riviera Supply Holding,3021.21,EUR
BNK0000008,2025-01-15,Customer Receipt,Inflow,Hexa Services Group,2530.84,EUR
BNK0000009,2025-02-21,Customer Receipt,Inflow,Nicolas Durand,108.66,EUR
BNK0000010,2025-01-05,Customer Receipt,Inflow,Dylan Traore,2284.04,EUR
BNK0000011,2025-01-13,Customer Receipt,Inflow,Topline Solutions SARL,6598.89,EUR
BNK0000012,2025-01-07,Customer Receipt,Inflow,  Ahmed Lopez  ,1884.27,EUR
BNK0000013,2025-01-02,Customer Receipt,Inflow,Urban Motion SARL,3032.89,EUR
BNK0000014,2025-02-02,Customer Receipt,Inflow,Thomas Martin,642.35,EUR
BNK0000015,2025-02-12,Customer Receipt,Inflow,Louis Lambert,82.01,EUR
BNK0000016,2025-02-03,Customer Receipt,Inflow,Elite Habitat SARL,101.5,EUR
BNK0000017,2025-02-25,Customer Receipt,Inflow,Antoine Dupont,1878.09,EUR
BNK0000018,2025-02-18,Customer Receipt,Inflow,Optima Conseil Services,1792.02,EUR
BNK0000019,2025-02-08,Customer Receipt,Inflow,Paul Leroy,575.28,EUR
BNK0000020,02-20-2025,Customer Receipt,Inflow,Kora Logistics SARL,2214.79,EUR
BNK0000021,2025-02-06,Customer Receipt,Inflow,Bati Plus Group,97.4,EUR
BNK0000022,2025-01-22,Customer Receipt,Inflow,Riviera Supply Group,1216.02,EUR
BNK0000023,2025-01-10,Customer Receipt,Inflow,Vision Commerce Services,977.88,EUR
BNK0000024,2025-03-05,Customer Receipt,Inflow,Nicolas Laurent,1496.9,eur
BNK0000025,,Customer Receipt,Inflow,Optima Conseil Group,3106.04,EUR
BNK0000026,2025-02-04,Customer Receipt,Inflow,Julie Roux,323.01,EUR
BNK0000027,2025-02-16,Customer Receipt,Inflow,Chloe Moreau,1146.55,EUR
BNK0000028,2025-01-08,Customer Receipt,Inflow,Smart Office Group,1459.99,EUR
BNK0000029,2025-02-12,Customer Receipt,Inflow,Louis Michel,808.45,EUR
BNK0000030,2025-02-22,Customer Receipt,Inflow,Maxime Bertrand,342.51,EUR
BNK0000031,2025-03-01,Customer Receipt,Inflow,Aurelien Morel,4741.88,EUR
BNK0000032,2025-02-26,Customer Receipt,Inflow,Fatou Petit,319.54,EUR
BNK0000033,2025-02-28,Customer Receipt,Inflow,Sarah Bernard,1922.89,EUR
BNK0000034,2025-02-11,Customer Receipt,Inflow,Louis Michel,85.2,EUR
BNK0000035,2025-03-04,Customer Receipt,Inflow,Antoine Dupont,3276.45,EUR
BNK0000036,2025-02-11,Customer Receipt,Inflow,Camille Garnier,900.11,EUR
BNK0000037,2025-02-22,Customer Receipt,Inflow,Vision Commerce Group,260.29,EUR
BNK0000038,2025-02-04,Customer Receipt,Inflow,Paul Konate,849.92,EUR
BNK0000039,2025-02-16,Customer Receipt,Inflow,Fatou Bonnet,326.84,EUR
BNK0000040,2025-02-24,Customer Receipt,Inflow,Noemie Laurent,82.31,EUR
BNK0000041,2025-01-04,Customer Receipt,Inflow,Urban Motion SARL,9212.0,EUR
BNK0000042,2025-01-24,Customer Receipt,Inflow,Nova Retail SAS,1869.36,EUR
BNK0000043,2025-02-24,Customer Receipt,Inflow,Louis Vincent,567.97,EUR
BNK0000044,2025-02-12,Customer Receipt,Inflow,Chloe Moreau,122.38,EUR
BNK0000045,2025-02-13,Customer Receipt,Inflow,Salome Traore,137.46,EUR
BNK0000046,2025-01-19,Customer Receipt,Inflow,Smart Office Holding,828.16,EUR
BNK0000047,2025-01-30,Customer Receipt,Inflow,Nova Retail SAS,182.63,EUR
BNK0000048,2025-02-28,Customer Receipt,Inflow,Cap Sud Equipement SAS,1192.25,EUR
BNK0000049,07-03-2025,Customer Receipt,Inflow,Mediterra Shop Services,"76,51",EUR
BNK0000050,2025-01-07,Customer Receipt,Inflow,Soleil Distribution SAS,1558.19,EUR
BNK0000051,2025-02-07,Customer Receipt,Inflow,Smart Office Group,100.56,EUR
BNK0000052,2025-02-14,Customer Receipt,Inflow,Mediterra Shop Services,510.24,EUR
BNK0000053,2025-02-26,Customer Receipt,Inflow,Laura Bertrand,4239.97,EUR
BNK0000054,2025-02-21,Customer Receipt,Inflow,Morgane Andre,576.87,EUR
BNK0000055,2025-03-03,Customer Receipt,Inflow,Camille Richard,121.68,EUR
BNK0000056,2025-02-10,Customer Receipt,Inflow,Kora Logistics SARL,3401.64,EUR
BNK0000057,2025-01-27,Customer Receipt,Inflow,Urban Motion Services,2207.05,EUR
BNK0000058,2025-03-02,Customer Receipt,Inflow,Soleil Distribution Group,222.88,EUR
BNK0000059,2025-01-10,Customer Receipt,Inflow,Salome Moreau,325.28,EUR
BNK0000060,2025-03-05,Customer Receipt,Inflow,Lea Lambert,2240.09,EUR
BNK0000061,2025-02-16,Customer Receipt,Inflow,Brahim Leroy,92.82,EUR
